2021-02-21 00:06:02,240 INFO 33553 [egg-sequelize](2ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer@gjb.com' LIMIT 1;
2021-02-21 00:06:02,241 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer@gjb.com' LIMIT 1;
2021-02-21 00:07:31,527 INFO 33553 [egg-sequelize](7ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer' LIMIT 1;
2021-02-21 00:41:10,668 INFO 33553 [egg-sequelize](3ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'ehall' LIMIT 1;
2021-02-21 00:41:10,670 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:41:10,773 INFO 33553 [egg-sequelize](4ms) Executed (default): INSERT INTO `users` (`id`,`user_name`,`email`,`password_hash`,`balance`,`is_admin`,`created_at`,`updated_at`) VALUES (DEFAULT,?,?,?,?,?,?,?);
2021-02-21 00:41:22,064 INFO 33553 [egg-sequelize](0ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer0120' LIMIT 1;
2021-02-21 00:41:22,067 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer0120' LIMIT 1;
2021-02-21 00:41:31,126 INFO 33553 [egg-sequelize](0ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:41:31,130 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:42:25,866 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:42:25,868 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:52:23,781 INFO 33553 [egg-sequelize](2ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:52:23,782 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:53:45,654 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:53:45,655 INFO 33553 [egg-sequelize](0ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:54:17,421 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:54:17,423 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:57:35,356 INFO 33553 [egg-sequelize](41ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 00:57:35,358 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 01:01:53,336 INFO 33553 [egg-sequelize](7ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`user_name` = 'endaytrer0120@gmail.com' LIMIT 1;
2021-02-21 01:01:53,339 INFO 33553 [egg-sequelize](1ms) Executed (default): SELECT `id`, `user_name` AS `userName`, `email`, `phone`, `password_hash` AS `passwordHash`, `balance`, `is_admin` AS `isAdmin`, `created_at` AS `createdAt`, `updated_at` AS `updatedAt` FROM `users` AS `user` WHERE `user`.`email` = 'endaytrer0120@gmail.com' LIMIT 1;
